"","BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"2858","BFISH_2019_F","SE1906","20191126_214235",6504,4.3236,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000771",2020-05-14,NA,NA,NA
"2859","BFISH_2019_F","SE1906","20191126_215013",14809,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000772",2020-05-14,NA,NA,NA
"2860","BFISH_2019_F","SE1906","20191126_225329",14340,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000773",2020-05-14,NA,NA,NA
"2861","BFISH_2019_F","SE1906","20191126_230101",6907,3.9,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000774",2020-05-14,NA,NA,NA
"2862","BFISH_2019_F","SE1906","20191126_234254",3081,0.0639,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000775",2020-05-14,NA,NA,NA
"2863","BFISH_2019_F","SE1906","20191126_234254",3106,0.0986,"JACK","Carangid","Jack sp.",NA,"non-target","00000776",2020-05-14,NA,NA,NA
"2864","BFISH_2019_F","SE1906","20191126_234254",3118,0.1153,"SEDU","Seriola dumerili","KAHALA",NA,"non-target","00000777",2020-05-14,NA,NA,NA
"2865","BFISH_2019_F","SE1906","20191126_234254",11181,11.3139,"DEMU","Decapterus muroadsi","Amberstripe scad",NA,"non-target","00000778",2020-05-14,NA,NA,NA
"2866","BFISH_2019_F","SE1906","20191126_234900",14679,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000779",2020-05-14,NA,NA,NA
"2867","BFISH_2019_F","SE1906","20190915_185754",4067,1.0403,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000780",2020-05-14,NA,NA,NA
"2868","BFISH_2019_F","SE1906","20190915_185754",10529,10.0153,"SHAR","Shark","Shark",NA,"non-target","00000781",2020-05-14,NA,NA,NA
"2869","BFISH_2019_F","SE1906","20190919_005516",14535,15,"NONE","No Fish in Drop","No Fish in Drop",NA,NA,"00000782",2020-05-14,NA,NA,NA
"2870","BFISH_2019_F","SE1906","20190919_193112",14805,15,"NONE","No Fish in Drop","No Fish in Drop",NA,NA,"00000783",2020-05-14,NA,NA,NA
"2871","BFISH_2019_F","SE1906","20190919_235424",14739,12.0139,"CAAM","Carcharhinus amblyrhynchos","Blacktail reef shark",NA,"non-target","00000784",2020-05-14,NA,NA,NA
"2872","BFISH_2019_F","SE1906","20190924_193301",15611,15,"NONE","No Fish in Drop","No Fish in Drop",NA,NA,"00000785",2020-05-14,NA,NA,NA
"2873","BFISH_2019_F","SE1906","20190913_003423",11280,10.5569,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000786",2020-05-14,NA,NA,NA
"2874","BFISH_2020_F","PIFG20","20201012_224041",2186,0.9583,"MUPF","Mulloidichthys pfluegeri","Orange goatfish",NA,"non-target","00000143",2021-08-27,NA,NA,NA
"2875","BFISH_2020_F","PIFG20","20201012_224041",3256,2.4444,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000144",2021-08-27,NA,NA,NA
"2876","BFISH_2020_F","PIFG20","20201012_224041",3291,2.4931,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000145",2021-08-27,NA,NA,NA
"2877","BFISH_2020_F","PIFG20","20201012_224041",5124,5.0389,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000146",2021-08-27,NA,NA,NA
"2878","BFISH_2020_F","PIFG20","20201012_224041",9909,11.6847,"COBA","Coris ballieui","Lined coris",NA,"non-target","00000147",2021-08-27,NA,NA,NA
"2879","BFISH_2020_F","PIFG20","20201012_224041",11534,13.9417,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000148",2021-08-27,NA,NA,NA
"2880","BFISH_2020_F","PIFG20","20201012_224516",2803,0.9083,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000149",2021-08-27,NA,NA,NA
"2881","BFISH_2020_F","PIFG20","20201012_224516",2903,1.0472,"PSAU","Pristipomoides auricilla","Goldflag jobfish",NA,"non-target","00000150",2021-08-27,NA,NA,NA
"2882","BFISH_2020_F","PIFG20","20201012_224516",3985,2.55,"ETCA","Etelis carbunculus","Ehu",11,"MaxN","00000151",2021-08-27,NA,NA,NA
"2883","BFISH_2020_F","PIFG20","20201012_234236",2229,0,"NONE","No Fish in Drop","No fish",NA,NA,"00000152",2021-08-27,NA,NA,NA
"2884","BFISH_2020_F","PIFG20","20201012_234648",4583,4.4833,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target (large school (n 150) near surface)","00000153",2021-08-27,NA,NA,NA
"2885","BFISH_2020_F","PIFG20","20201013_002527",3611,0.4431,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000154",2021-08-27,NA,NA,NA
"2886","BFISH_2020_F","PIFG20","20201013_002527",3662,0.5139,"APVI","Aprion virescens","UKU",NA,"non-target","00000155",2021-08-27,NA,NA,NA
"2887","BFISH_2020_F","PIFG20","20201013_002527",5072,2.4722,"PRFI","Pristipomoides filamentosus","Opakapaka",14,"MaxN","00000156",2021-08-27,NA,NA,NA
"2888","BFISH_2020_F","PIFG20","20201013_002527",8171,6.7764,"CASP","Caranx sp.","Jack sp.",NA,"non-target","00000157",2021-08-27,NA,NA,NA
"2889","BFISH_2020_F","PIFG20","20201013_003025",10278,11.7583,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000158",2021-08-27,NA,NA,NA
"2890","BFISH_2020_F","PIFG20","20201013_003025",11347,13.2431,"PRFI","Pristipomoides filamentosus","Opakapaka",8,"MaxN","00000159",2021-08-27,NA,NA,NA
"2891","BFISH_2020_F","PIFG20","20201013_011355",1571,0.4903,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000160",2021-08-27,NA,NA,NA
"2892","BFISH_2020_F","PIFG20","20201013_011355",1664,0.6194,"APVI","Aprion virescens","UKU",NA,"non-target","00000161",2021-08-27,NA,NA,NA
"2893","BFISH_2020_F","PIFG20","20201013_011355",1865,0.8986,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000162",2021-08-27,NA,NA,NA
"2894","BFISH_2020_F","PIFG20","20201013_011355",2039,1.1403,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000163",2021-08-27,NA,NA,NA
"2895","BFISH_2020_F","PIFG20","20201013_011355",2058,1.1667,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000164",2021-08-27,NA,NA,NA
"2896","BFISH_2020_F","PIFG20","20201013_011355",6949,7.9597,"BOAL","Bodianus albotaeniatus","Table boss",NA,"non-target","00000165",2021-08-27,NA,NA,NA
"2897","BFISH_2020_F","PIFG20","20201013_011355",7328,8.4861,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000166",2021-08-27,NA,NA,NA
"2898","BFISH_2020_F","PIFG20","20201013_011355",9706,11.7889,"CHVE","Chromis verater","Threespot chromis",NA,"non-target","00000167",2021-08-27,NA,NA,NA
"2899","BFISH_2020_F","PIFG20","20201013_011559",1349,0.0875,"CAIG","Caranx ignobilis","Giant trevally",NA,"non-target","00000168",2021-08-27,NA,NA,NA
"2900","BFISH_2020_F","PIFG20","20201013_011559",1546,0.3611,"APVI","Aprion virescens","UKU",NA,"non-target","00000169",2021-08-27,NA,NA,NA
"2901","BFISH_2020_F","PIFG20","20201013_011559",1662,0.5222,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000170",2021-08-27,NA,NA,NA
"2902","BFISH_2020_F","PIFG20","20201013_011559",4111,3.9236,"BOAL","Bodianus albotaeniatus","Table boss",NA,"non-target","00000171",2021-08-27,NA,NA,NA
"2903","BFISH_2020_F","PIFG20","20201013_022955",813,0.2278,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000172",2021-08-27,NA,NA,NA
"2904","BFISH_2020_F","PIFG20","20201013_022955",1199,0.7639,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000173",2021-08-27,NA,NA,NA
"2905","BFISH_2020_F","PIFG20","20201013_022955",1906,1.7458,"SUBU","Sufflamen bursa","Boomerang triggerfish",NA,"non-target","00000174",2021-08-27,NA,NA,NA
"2906","BFISH_2020_F","PIFG20","20201013_022955",7802,9.9347,"CAOR","Carangoides orthogrammus","Yellow spot topiu",NA,"non-target","00000175",2021-08-27,NA,NA,NA
"2907","BFISH_2020_F","PIFG20","20201013_023135",2016,1.7944,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000176",2021-08-27,NA,NA,NA
"2908","BFISH_2020_F","PIFG20","20201013_034009",14768,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000177",2021-08-27,NA,NA,NA
"2909","BFISH_2020_F","PIFG20","20201013_034558",12337,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000178",2021-08-27,NA,NA,NA
"2910","BFISH_2020_F","PIFG20","20201013_171539",10054,6.3056,"SELE","Sepioteuthis lessoniana","bigfin reef squid",NA,"non-target","00000179",2021-08-27,NA,NA,NA
"2911","BFISH_2020_F","PIFG20","20201013_172223",12321,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000180",2021-08-27,NA,NA,NA
"2912","BFISH_2020_F","PIFG20","20201013_192633",12037,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000181",2021-08-27,NA,NA,NA
"2913","BFISH_2020_F","PIFG20","20201013_193038",10800,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000182",2021-08-27,NA,NA,NA
"2914","BFISH_2020_F","PIFG20","20201013_202503",4650,4.6139,"NONE","No Fish in Drop","No fish",NA,NA,"00000183",2021-08-27,NA,NA,NA
"2915","BFISH_2020_F","PIFG20","20201013_202817",1290,0.1833,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000184",2021-08-27,NA,NA,NA
"2916","BFISH_2021_F","PIFG21","20210710_173054",16446,3.8542,"SHAR","Shark","Reef Shark",NA,"non-target","00000001",2022-06-01,NA,NA,NA
"2917","BFISH_2021_F","PIFG21","20210710_173054",18761,10.4167,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000002",2022-06-01,NA,NA,NA
"2918","BFISH_2021_F","PIFG21","20210710_173054",23486,0,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000003",2022-06-01,NA,NA,NA
"2919","BFISH_2021_F","PIFG21","20210710_173103",11280,3.4708,"SHAR","Shark","Reef Shark",NA,"non-target","00000004",2022-06-01,NA,NA,NA
"2920","BFISH_2021_F","PIFG21","20210710_173103",13779,12.5847,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000005",2022-06-01,NA,NA,NA
"2921","BFISH_2021_F","PIFG21","20210710_173103",20341,12.0556,"PRFI","Pristipomoides filamentosus","Opakapaka",2,"MaxN","00000006",2022-06-01,NA,NA,NA
"2922","BFISH_2021_F","PIFG21","20210710_193824",25843,12.65,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000007",2022-06-01,NA,NA,NA
"2923","BFISH_2021_F","PIFG21","20210710_194812",20880,5.4167,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000008",2022-06-01,NA,NA,NA
"2924","BFISH_2021_F","PIFG21","20210710_210317",23450,1.0333,"TORA","Torquigener randalli","Randall's puffer",NA,"non-target","00000009",2022-06-01,NA,NA,NA
"2925","BFISH_2021_F","PIFG21","20210710_210338",22695,0.9331,"TORA","Torquigener randalli","Randall's puffer",NA,"non-target","00000010",2022-06-01,NA,NA,NA
"2926","BFISH_2021_F","PIFG21","20210710_222642",7494,3.6042,"PRSP","Pristipomoides sp.","Jobfish",NA,"non-target","00000011",2022-06-01,NA,NA,NA
"2927","BFISH_2021_F","PIFG21","20210710_222642",9577,9.65,"CAPL","Carcharhinus plumbeus","Sandbar shark",NA,"non-target","00000012",2022-06-01,NA,NA,NA
"2928","BFISH_2021_F","PIFG21","20210710_222642",13930,0,"PRFI","Pristipomoides filamentosus","Opakapaka",30,"MaxN","00000013",2022-06-01,NA,NA,NA
"2929","BFISH_2021_F","PIFG21","20210711_003357",7932,0.0917,"NONE","No Fish in Drop","No fish",NA,NA,"00000014",2022-06-01,NA,NA,NA
"2930","BFISH_2021_F","PIFG21","20210711_003643",7568,0.3489,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000015",2022-06-01,NA,NA,NA
"2931","BFISH_2021_F","PIFG21","20210711_014755",14958,0.0194,"NONE","No Fish in Drop","No fish",NA,NA,"00000016",2022-06-01,NA,NA,NA
"2932","BFISH_2021_F","PIFG21","20210711_022512",6775,0.8556,"NONE","No Fish in Drop","No fish",NA,NA,"00000017",2022-06-01,NA,NA,NA
"2933","BFISH_2021_F","PIFG21","20210711_024014",3549,2.9681,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000018",2022-06-01,NA,NA,NA
"2934","BFISH_2021_F","PIFG21","20210711_031320",17308,1.3125,"PERC","Perciformes","Fish",NA,"non-target","00000019",2022-06-01,NA,NA,NA
"2935","BFISH_2021_F","PIFG21","20210711_031652",15109,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000020",2022-06-01,NA,NA,NA
"2936","BFISH_2021_F","PIFG21","20210711_183542",20584,11.0694,"NONE","No Fish in Drop","No fish",NA,NA,"00000021",2022-06-01,NA,NA,NA
"2937","BFISH_2021_F","PIFG21","20210711_183636",18015,12.1917,"PRFI","Pristipomoides filamentosus","Opakapaka",4,"MaxN","00000022",2022-06-01,NA,NA,NA
"2938","BFISH_2021_F","PIFG21","20210711_183636",18823,2.2347,"SHAR","Shark","Reef Shark",NA,"non-target","00000023",2022-06-01,NA,NA,NA
"2939","BFISH_2021_F","PIFG21","20210711_194613",12359,9.9278,"NONE","No Fish in Drop","No fish",NA,NA,"00000024",2022-06-01,NA,NA,NA
"2940","BFISH_2021_F","PIFG21","20210711_194657",16218,14.2486,"APVI","Aprion virescens","Green jobfish",NA,"non-target","00000025",2022-06-01,NA,NA,NA
"2941","BFISH_2021_F","PIFG21","20210711_194657",19329,5.3819,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000026",2022-06-01,NA,NA,NA
"2942","BFISH_2021_F","PIFG21","20210711_203200",15180,15,"NONE","No Fish in Drop","No fish",NA,NA,"00000027",2022-06-01,NA,NA,NA
"2943","BFISH_2021_F","PIFG21","20210711_203844",19773,0,"NONE","No Fish in Drop","No fish",NA,NA,"00000028",2022-06-01,NA,NA,NA
