name,date,data_year,error_structure,species,data_treatment,q_config,ab_config,lehi_filter,knot_dist,fine_scale,all_lengths,gears_used,model_name_short,category,time,estimate,cv,l95,u95,estimate_sc,l95_sc,u95_sc,model_number
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2016,12.9097453733696,0.230400928,8.19173890818822,20.3450729415519,1.49016376326431,0.945567253734166,2.34841893326643,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2016,8.28116222502174,0.347775134,4.21306083880171,16.2773931877594,2.1980938358934,1.11828543003692,4.32055750850035,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2016,2.02704467890523,0.197599222,1.37047670042079,2.9981612449277,1.22719475118765,0.829701402679338,1.81511921334494,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2016,0.994968235467124,0.476273515,0.402788846067693,2.4577686280374,0.95091364368754,0.384954409193886,2.3489450598699,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2016,0.815564864991458,0.290070661,0.461931452737994,1.43992370527279,0.597259634490309,0.338284571178482,1.05449406027829,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2016,0.113767345777947,0.364991086,0.0560853118608027,0.230773593583327,0.836348229149061,0.412305050586383,1.696506893151,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2016,0.302324309379534,0.593486568,0.100771997848199,0.906997876329645,1.0943470221144,0.364772306878082,3.28313137326768,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2016,0.374915918449189,0.744859137,0.0992863608818801,1.41572260941081,0.892703518281324,0.236408430037403,3.37094396940825,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2017,12.1300100352285,0.122557833,9.50178718478193,15.4852072134806,1.4001594051434,1.09678529974875,1.78744769852459,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2017,4.67574664009709,0.192942279,3.19001287949153,6.85345403554108,1.24109751608805,0.84673472832643,1.81913295027402,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2017,1.90083223842694,0.291687688,1.07334937205783,3.36625081516188,1.15078437597421,0.649817307574753,2.03796461643801,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2017,2.33227688552298,0.372804501,1.13355400360375,4.7986381358556,2.22900976357267,1.08336319639127,4.58616698689092,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2017,2.52959061017856,0.203825509,1.68969444727863,3.78697383151686,1.85248583907693,1.23740775418582,2.77330069443319,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2017,0.0745515185804796,0.320765318,0.039869080194987,0.139404493293388,0.548057354408663,0.293093192874178,1.02481692179855,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2017,0.211275599719751,0.446276335,0.0900907394622008,0.495471335937573,0.764770864351788,0.326108517878972,1.79349646787958,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2017,0.405736542702652,0.590858459,0.135811437081755,1.21213754615675,0.966089785315548,0.323377434085016,2.88619234032783,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2018,7.50490798600049,0.149540167,5.57408927667089,10.1045464259182,0.866286793730297,0.643413608329527,1.16636141865245,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2018,3.06284252532901,0.280262035,1.76717332898936,5.30848003479589,0.812979518127987,0.469066140217598,1.40904584711446,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2018,1.3635061806713,0.287416165,0.776153628756609,2.39533648474617,0.825481374705293,0.469891793327309,1.45016258990224,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2018,0.899494848205287,0.423554671,0.399182269768084,2.02687103918197,0.859667568365627,0.381507522662189,1.93712648951893,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2018,1.25079925837446,0.277534445,0.725407564928582,2.15671694146743,0.915993245841097,0.531235068703319,1.57942062912848,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2018,0.0697564643779559,0.407920104,0.0318282607023407,0.152881879660963,0.512807036634862,0.233981985720697,1.12389445714054,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2018,0.553653492893056,0.400528803,0.255976638979707,1.19750064464665,2.00410298620786,0.926578723269743,4.33468703571557,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2018,0.304855216149418,0.75840324,0.0791783126983091,1.17376462880211,0.725883619849238,0.188529627148757,2.79482348495647,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2019,7.9783021923451,0.142705084,6.00596250544751,10.5983521899519,0.920930388288651,0.693264462644161,1.22336110643653,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2019,3.25329766900801,0.243044012,2.01483749219429,5.25300217222302,0.863532600649432,0.53480438513056,1.394320190928,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2019,2.14102366845487,0.195322668,1.45395805039419,3.15276107700712,1.29619886302426,0.880241913984075,1.90871562216451,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2019,1.17603830064491,0.48515115,0.468906231693329,2.94955790966819,1.12396639984926,0.44814428987068,2.81895919806242,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2019,1.0914138613052,0.369537245,0.533615618928651,2.23228888809641,0.799271120988796,0.39078077440595,1.63476395638403,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2019,0.123229586070928,0.342582653,0.0632947236347565,0.23991780058699,0.905908856222694,0.465304254612126,1.76372953319933,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2019,0.122709295132171,0.525080848,0.045736562601185,0.329223934975912,0.444180462991042,0.165556224000239,1.19171770734908,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2019,0.0705876071063933,0.644293835,0.0217228177991453,0.229372189329995,0.168074499134603,0.0517236930256119,0.546152751416254,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2020,7.64764848227479,0.125469491,5.9562346116727,9.81937937666547,0.882763239155557,0.687524403240701,1.13344476607849,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2020,2.3349731389895,0.275204272,1.36016574169522,4.00840823487244,0.619778954248901,0.361032890236102,1.06396387287224,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2020,1.9446491130362,0.172138972,1.38169895900638,2.73696390098752,1.17731158531179,0.836495479285557,1.65698751903978,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2020,0.739399562651784,0.296881802,0.413463154776076,1.3222743234418,0.706660883432207,0.395156087424316,1.26372747394112,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2020,1.72379222340189,0.317998872,0.926614641766542,3.20679114652873,1.26237845385485,0.678584311329609,2.34841763086811,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2020,0.384660350437766,0.260077144,0.230602160905442,0.641640063640067,2.82778859533561,1.69524662452482,4.71694691747377,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2020,0.468089884316436,0.404013715,0.215072744052101,1.0187629342112,1.69438167918045,0.778515685604086,3.68769612203084,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2020,0.0520820048185844,0.692431426,0.0148966416059224,0.182090386389147,0.124011242662123,0.0354700446627879,0.433571157093526,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2021,7.64009764979496,0.186040935,5.28297337613457,11.0489090030416,0.881891651326479,0.609810283605233,1.27536859510034,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2021,2.7952895239413,0.196243933,1.89486921693846,4.12357932294687,0.741962118982232,0.502960844432152,1.09453408172585,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2021,1.33851016938477,0.155656539,0.982264606622777,1.823958087736,0.810348519386075,0.594673606393276,1.10424393450704,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2021,0.573869882335421,0.230062658,0.364379996521837,0.903800002731307,0.548460424525931,0.348246203072763,0.863782101906543,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2021,1.19205929323789,0.312040303,0.647938815650131,2.19311657871432,0.872976422025607,0.474502662901416,1.60607704233467,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2021,0.121567300614053,0.205759675,0.0808994621505287,0.182678700027561,0.89368874606111,0.594723568929577,1.34294253088674,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2021,0.151739765816692,0.368207706,0.0743683737546914,0.309606831071144,0.549264335370956,0.269197037198116,1.1207081372462,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2021,1.46706171446484,0.839387901,0.340511780069985,6.32069197020484,3.49318631082901,0.810784629636656,15.0500517105653,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Total,2022,4.83243357907722,0.11478794,3.84404499350131,6.07495862709003,0.557804759091306,0.443715688265206,0.701228641433431,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,'Opakapaka (PRFI),2022,1.96869052272748,0.170981978,1.40195144556541,2.76453395482174,0.52255545601,0.372124195491299,0.733798575621517,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Ehu (ETCA),2022,0.846830823014535,0.182582866,0.589529518154939,1.21643178284247,0.512680530410717,0.356907540262337,0.736440945094681,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Onaga (ETCO),2022,0.608253176745793,0.294035136,0.341951487693122,1.08194273262929,0.581321316566769,0.326810769967929,1.03403713754013,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Kalekale (PRSI),2022,0.955359985442966,0.366154833,0.469978726556958,1.94202982009861,0.699635283722417,0.344177801779837,1.42219959479683,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Gindai (PRZO),2022,0.0646681953667261,0.331742406,0.0338868029160713,0.123410151802951,0.475401182187997,0.249115134194096,0.907236265499849,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Hapu'upu'u (HYQU),2022,0.124027659460037,0.816630524,0.02969205991554,0.51807992961391,0.448952649783507,0.10747867882573,1.87533456821187,0
design,,2022,design,mv,design,design,design,FALSE,,,FALSE,both,00 design,Lehi (APRU),2022,0.264607625564924,0.277986069,0.153329517728985,0.456645247074115,0.630051023928153,0.365089325892665,1.08730730974485,0
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Total,2016,7.15295023873363,0.108132922821502,5.76547335349033,8.87432722012758,1.0043543299239,0.809537034842287,1.24605493834312,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,'Opakapaka (PRFI),2016,3.81661232060001,0.172154115128312,2.71167326937348,5.37178640593427,1.04483641949195,0.742348122263252,1.47058113404862,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Ehu (ETCA),2016,1.41550493509557,0.143482953117067,1.06394226544004,1.88323585439219,1.09159904986179,0.820483445353528,1.45230046067014,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Onaga (ETCO),2016,0.671623727915284,0.418896077407094,0.300524895343926,1.50096860156161,0.92078125613733,0.412012975619921,2.05779470993157,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Kalekale (PRSI),2016,0.354990900723862,0.222606659994718,0.228663399106798,0.551109360260499,0.667559005096459,0.430000630716021,1.03635900380732,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Gindai (PRZO),2016,0.104153285008219,0.251984828535375,0.0634105458537757,0.171074174365546,0.604478001198289,0.368017965151633,0.992869067634042,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Hapu'upu'u (HYQU),2016,0.67217626226568,0.257881700791606,0.404655639664482,1.11655660582931,1.3929653102024,0.838576576224875,2.31386424381469,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Lehi (APRU),2016,0.117888807124999,0.341792926551298,0.0606396290339806,0.229186277468278,0.45988142635215,0.236553747329407,0.894050205043601,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Total,2017,10.7001047579984,0.0949146271378496,8.85382648466669,12.9313853202818,1.50241455422701,1.24317640546653,1.81571133656295,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,'Opakapaka (PRFI),2017,5.7697948130828,0.148045851945648,4.29799328712799,7.74559892514922,1.57953998135103,1.17661935242542,2.12043644152501,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Ehu (ETCA),2017,1.05568752530345,0.161367453758537,0.766078347033647,1.4547809051081,0.814117613439745,0.590778862727987,1.12188761367042,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Onaga (ETCO),2017,1.56626113319344,0.26350169107057,0.932866727692758,2.62971533288552,2.1473093247278,1.27893962293424,3.60528147957774,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Kalekale (PRSI),2017,1.35795109089173,0.175106279294191,0.95925852705805,1.92235055851887,2.55362173328067,1.80388192105039,3.61497273218761,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Gindai (PRZO),2017,0.0810712491633278,0.322033946705595,0.0432536521343616,0.1519535834913,0.470515996159216,0.251032708038367,0.88189823697342,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Hapu'upu'u (HYQU),2017,0.433747842982237,0.249985852586908,0.265084606120393,0.709725072478547,0.898864974215,0.549340524685811,1.47077851635401,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Lehi (APRU),2017,0.435591103381466,0.351943999756813,0.219919573717049,0.862768175374894,1.6992305106368,0.85790101461046,3.3656380854032,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Total,2018,6.39339394965201,0.107529929048309,5.15941503454839,7.92250398964557,0.897704119549288,0.724439658724724,1.11240829591576,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,'Opakapaka (PRFI),2018,3.48437091015187,0.168968713049881,2.49110292046641,4.87368086632061,0.953881956072668,0.681964747102446,1.33421967922388,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Ehu (ETCA),2018,0.860603294948599,0.182123213275705,0.599655035354203,1.2351068324456,0.663673941207691,0.462437714350526,0.952480921364213,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Onaga (ETCO),2018,0.528754994296576,0.407058240194854,0.241629744766743,1.15706716597936,0.724911386541572,0.331269028563161,1.58631345832993,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Kalekale (PRSI),2018,0.508997222838147,0.241536899143627,0.316144735619856,0.819492288394362,0.957167293532981,0.594508943036376,1.54105205403646,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Gindai (PRZO),2018,0.102712331467619,0.354619331358578,0.0516035158767253,0.204440004838357,0.596115089591874,0.299493099324766,1.18651548513239,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Hapu'upu'u (HYQU),2018,0.697102252441632,0.239674646511697,0.434528043052236,1.11834335695747,1.44461997518643,0.900481799582893,2.31756696656647,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Lehi (APRU),2018,0.210852943507574,0.363966038821675,0.104141127456942,0.426910720783103,0.822532306294327,0.406252055685309,1.66536854504422,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Total,2019,6.75067098294353,0.10643618838635,5.45956298015388,8.34710743068878,0.947869816694167,0.766583792085843,1.17202737479639,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,'Opakapaka (PRFI),2019,4.01024384512595,0.161447463211969,2.90964771443234,5.52714873955389,1.09784501763918,0.796545639053139,1.51311315217026,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Ehu (ETCA),2019,1.45321483493625,0.147155294944578,1.08441700458038,1.94743659271185,1.12067990278985,0.836273009372433,1.50181033040821,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Onaga (ETCO),2019,0.421282740570714,0.412995371513642,0.190492409408917,0.931686191872295,0.577569306932837,0.26116087435537,1.27732113447038,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Kalekale (PRSI),2019,0.40223779759316,0.255289164244947,0.243350467813451,0.664865152166567,0.756406610496063,0.457619606170333,1.25027632707935,1
2021_pldg_mv_01_v_v_TRUE_7.5_FALSE_TRUE_pit_noxval,2022-12-28T10:00:00Z,2021,pldg,mv,01,v,v,TRUE,7.5,FALSE,FALSE,both,01 2021.01.v.vv,Gindai (PRZO),2019,0.163902434930991,0.260345847477343,0.0982085125869096,0.273540525853443,0.951246196899117,0.569976121103694,1.58755655476032,1
