"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"177","MYSP","Myripristis sp.","Squirrelfish","Soldierfish","Holocentridae","Squirrelfishes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000109",NA,NA,NA,NA
"178","NABR","Naso brevirostris","Spotted unicornfish",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000110",NA,NA,NA,NA
"179","NAHE","Naso hexacanthus","Sleek unicornfish","Opelu Kala","Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000111",NA,NA,NA,NA
"180","NAMA","Naso maculatus","spotted unicornfish",NA,"Acanthuridae","Surgeonfishes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000112",NA,NA,NA,NA
"181","NASP","Naso sp.","unicornfish sp.",NA,"Acanthuridae","Surgeonfishes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000113",NA,NA,NA,NA
"182","NASP","Acanthuridae","unicornfish sp.",NA,"Acanthuridae","Surgeonfishes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000114",NA,NA,NA,NA
"183","NONE","NONE","NONE","fish came off","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000115",NA,NA,NA,NA
"184","NONE","NONE","NONE","lost to predation","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000116",NA,NA,NA,NA
"185","NONE","NONE","NONE","stolen by predator","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000117",NA,NA,NA,NA
"186","NONE","NONE","NONE","lost to predator","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000118",NA,NA,NA,NA
"187","NONE","NONE","NONE","lost","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000119",NA,NA,NA,NA
"188","NONE","NONE","NONE","LOST paka @ surface","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000120",NA,NA,NA,NA
"189","NONE","NONE","NONE","NONE","None","None","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000121",NA,NA,NA,NA
"190","NONE","No Fish in Drop","No Fish in Drop","No Fish in Drop","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000122",NA,NA,NA,NA
"191","NONE","No fish","No fish","No fish","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000123",NA,NA,NA,NA
"192","ODEL","Odontanthias elizabethae","Elizabeth's Anthias",NA,"Serranidae","Seabasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000124",NA,NA,NA,NA
"193","ODFU","Odontanthias fuscipinnis","Hawaiian deep anthias",NA,"Serranidae","Seabasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000125",NA,NA,NA,NA
"194","OXUN","Oxycheilinus unifasciatus","Ringtail wrasse","Paoo","Labridae","Wrasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000126",NA,NA,NA,NA
"195","PAMU","Parupeneus multifasciatus","Manybar goatfish",NA,"Mullidae","Goatfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000127",NA,NA,NA,NA
"196","PAPO","Parupeneus porphyreus","Whitesaddle goatfish",NA,"Mullidae","Goatfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000128",NA,NA,NA,NA
"197","PERC","Perciformes","Fish",NA,NA,NA,"OTH","OTL",NA,NA,NA,NA,NA,NA,NA,NA,"00000129",NA,NA,NA,NA
"198","PLDA","Plesiobatis daviesi","Deep-water stingray","Davies' stingray","Plesiobatidae","Deepwater stingrays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000130",NA,NA,NA,NA
"199","POBE","Polymixia berndti","Beardfish","Deep sea moi","Polymixiidae","Beardfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000131",NA,NA,NA,NA
"200","POMA","Pontinus macrocephalus","Large-headed scorpionfish","Hogo","Scorpaenidae","Scorpionfishes","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000132",NA,NA,NA,NA
"201","PORC","Tetraodontinae sp.","Balloonfish","balloon fish","Tetraodontinae","Porcupinefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000133",NA,NA,NA,NA
"202","PORC","Tetraodontinae sp.","Balloonfish","Balloonfish","Tetraodontinae","Porcupinefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000134",NA,NA,NA,NA
"203","PRAL","Priacanthus alalaua","Alalaua",NA,"Priacanthidae","Bigeyes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000135",NA,NA,NA,NA
"204","PRFI","Pristipomoides filamentosus","Opakapaka","paka","Lutjanidae","Snappers","DPS","DPS","Deep 7",29,80,2.311e-05,2.928,0.3459,29.3,NA,"00000136",NA,NA,NA,NA
"205","PRFI","Pristipomoides filamentosus","Opakapaka","paka paka","Lutjanidae","Snappers","DPS","DPS","Deep 7",29,80,2.311e-05,2.928,0.3459,29.3,NA,"00000137",NA,NA,NA,NA
"206","PRFI","Pristipomoides filamentosus","Opakapaka","Opakapaka","Lutjanidae","Snappers","DPS","DPS","Deep 7",29,80,2.311e-05,2.928,0.3459,29.3,NA,"00000138",NA,NA,NA,NA
"207","PRSI","Pristipomoides sieboldii","Kalekale","kale kale","Lutjanidae","Snappers","DPS","DPS","Deep 7",NA,NA,2.243e-05,2.932,0.1364,29.4,NA,"00000139",NA,NA,NA,NA
