"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"66","CAUN","Caprodon unicolor","Hawaiian Sunrise Perch",NA,"Serranidae","Seabasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000205",NA,NA,NA,NA
"67","ACBL","Acanthurus blochii","Ringtail surgeonfish",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000206",NA,NA,NA,NA
"68","PLSP","Plesiobatis sp.","Deep-water stingray",NA,"Plesiobatidae","Rays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000207",NA,NA,NA,NA
"69","ACDU","Acanthurus dussumieri","Eyestripe surgeonfish",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000001",NA,NA,NA,NA
"70","ACSP","Acanthurid sp.","Surgeonfish sp.",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000002",NA,NA,NA,NA
"71","ACSP","Acanthurid","Surgeonfish sp.",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000003",NA,NA,NA,NA
"72","ACXA","Acanthurus xanthopterus","Yellowfin surgeonfish",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000004",NA,NA,NA,NA
"73","AENA","Aetobatus narinari","Spotted eagle ray",NA,"Myliobatidae","Eagle rays","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000005",NA,NA,NA,NA
"74","AKUU","Katsuwonus pelamis","Skipjack tuna","Aku","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000006",NA,NA,NA,NA
"75","ALMO","Aluterus monoceros","Unicorn leatherjacket filefish",NA,"Monacanthidae","Filefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000007",NA,NA,NA,NA
"76","ALSP","Alopias sp.","Thresher shark","Thresher shark","Alopiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000008",NA,NA,NA,NA
