"PSU","total_samples_in_psu","samples_with_opaka_catch","prop_zeros_opaka"
6925,1,0,100
6928,1,0,100
6939,1,0,100
6946,1,0,100
6957,1,0,100
6960,1,0,100
6976,1,0,100
7002,1,0,100
7011,1,0,100
7021,1,0,100
7044,1,0,100
7060,1,0,100
7069,1,0,100
7077,1,0,100
7099,1,0,100
7101,1,0,100
7105,1,0,100
7110,1,0,100
7129,1,0,100
7150,1,0,100
7170,1,0,100
7174,1,0,100
7203,1,0,100
7211,1,0,100
7225,1,0,100
7231,1,0,100
7248,1,0,100
7254,1,0,100
7258,1,0,100
7263,1,0,100
7287,1,0,100
7302,1,0,100
7305,1,0,100
7308,1,0,100
7315,1,0,100
7334,1,0,100
7342,1,0,100
7355,1,0,100
7364,1,0,100
7380,1,0,100
7394,1,0,100
7396,1,0,100
7412,1,0,100
7417,1,0,100
7421,1,0,100
7425,1,0,100
7440,1,0,100
7446,1,0,100
7472,1,0,100
7477,1,0,100
7484,1,0,100
7574,1,0,100
7609,1,0,100
7611,1,0,100
7638,1,0,100
7655,1,0,100
7657,1,0,100
7675,1,0,100
7688,1,0,100
7701,1,0,100
7725,1,0,100
7744,1,0,100
7764,1,0,100
7765,1,0,100
7796,1,0,100
7799,1,0,100
7812,1,0,100
7837,1,0,100
7841,1,0,100
7850,1,0,100
7854,1,0,100
7871,1,0,100
7877,1,0,100
7882,1,0,100
7894,1,0,100
7955,1,0,100
7980,1,0,100
8039,1,0,100
8088,1,0,100
8094,1,0,100
8102,1,0,100
8111,1,0,100
8192,1,0,100
8198,1,0,100
8210,1,0,100
8220,1,0,100
8240,1,0,100
8252,1,0,100
8278,1,0,100
8289,1,0,100
8291,1,0,100
8307,1,0,100
8317,1,0,100
8323,1,0,100
8328,1,0,100
8338,1,0,100
8358,1,0,100
8375,1,0,100
8378,1,0,100
8384,1,0,100
8387,1,0,100
8414,1,0,100
8415,1,0,100
8427,1,0,100
8444,1,0,100
8466,1,0,100
8481,1,0,100
8488,1,0,100
8489,1,0,100
8493,1,0,100
8494,1,0,100
8508,1,0,100
8532,1,0,100
8542,1,0,100
8560,1,0,100
8586,1,0,100
8603,1,0,100
8605,1,0,100
8613,1,0,100
8616,1,0,100
8631,1,0,100
8639,1,0,100
8661,1,0,100
8676,1,0,100
8677,1,0,100
8702,1,0,100
8760,1,0,100
8761,1,0,100
8771,1,0,100
8795,1,0,100
8797,1,0,100
8818,1,0,100
8850,1,0,100
8871,1,0,100
8886,1,0,100
8890,1,0,100
8891,1,0,100
8893,1,0,100
8917,1,0,100
8920,1,0,100
8938,1,0,100
8956,1,0,100
8963,1,0,100
8974,1,0,100
8976,1,0,100
8977,1,0,100
8992,1,0,100
8993,1,0,100
8997,1,0,100
9014,1,0,100
9024,1,0,100
9032,1,0,100
9035,1,0,100
9067,1,0,100
9086,1,0,100
9090,1,0,100
9107,1,0,100
9123,1,0,100
9167,1,0,100
9177,1,0,100
9269,1,0,100
9278,1,0,100
9285,1,0,100
9302,1,0,100
9307,1,0,100
9331,1,0,100
9336,1,0,100
9357,1,0,100
9359,1,0,100
9428,1,0,100
9431,1,0,100
9436,1,0,100
9460,1,0,100
9478,1,0,100
9484,1,0,100
9492,1,0,100
9496,1,0,100
9505,1,0,100
9513,1,0,100
9518,1,0,100
9544,1,0,100
9555,1,0,100
9571,1,0,100
9583,1,0,100
9589,1,0,100
9601,1,0,100
9613,1,0,100
9614,1,0,100
9616,1,0,100
9617,1,0,100
9621,1,0,100
9649,1,0,100
9653,1,0,100
9658,1,0,100
9669,1,0,100
9688,1,0,100
9694,1,0,100
9697,1,0,100
9700,1,0,100
9707,1,0,100
9711,1,0,100
9714,1,0,100
9718,1,0,100
9737,1,0,100
9741,1,0,100
9743,1,0,100
9753,1,0,100
9756,1,0,100
9773,1,0,100
9776,1,0,100
9792,1,0,100
9797,1,0,100
9801,1,0,100
9816,1,0,100
9824,1,0,100
9829,1,0,100
9841,1,0,100
9861,1,0,100
9871,1,0,100
9873,1,0,100
9878,1,0,100
9880,1,0,100
9882,1,0,100
9884,1,0,100
9885,1,0,100
9895,1,0,100
9898,1,0,100
9902,1,0,100
9908,1,0,100
9933,1,0,100
9935,1,0,100
9936,1,0,100
9939,1,0,100
9942,1,0,100
9946,1,0,100
9947,1,0,100
9949,1,0,100
9951,1,0,100
9957,1,0,100
9959,1,0,100
9976,1,0,100
9989,1,0,100
10000,1,0,100
10001,1,0,100
10007,1,0,100
10009,1,0,100
10011,1,0,100
10017,1,0,100
10022,1,0,100
10027,1,0,100
10032,1,0,100
10045,1,0,100
10065,1,0,100
10066,1,0,100
10067,1,0,100
10070,1,0,100
10075,1,0,100
10104,1,0,100
10116,1,0,100
10119,1,0,100
10132,1,0,100
10144,1,0,100
10164,1,0,100
10189,1,0,100
10244,1,0,100
10266,1,0,100
10275,1,0,100
10304,1,0,100
10306,1,0,100
10315,1,0,100
10318,1,0,100
10321,1,0,100
10357,1,0,100
10390,1,0,100
10392,1,0,100
10399,1,0,100
10444,1,0,100
10494,1,0,100
10499,1,0,100
10502,1,0,100
10510,1,0,100
10553,1,0,100
10554,1,0,100
10561,1,0,100
10562,1,0,100
10616,1,0,100
10621,1,0,100
10622,1,0,100
10674,1,0,100
10686,1,0,100
10687,1,0,100
10744,1,0,100
10745,1,0,100
10752,1,0,100
10832,1,0,100
10834,1,0,100
10845,1,0,100
10853,1,0,100
10881,1,0,100
10883,1,0,100
10887,1,0,100
10894,1,0,100
10930,1,0,100
10933,1,0,100
10946,1,0,100
10951,1,0,100
10979,1,0,100
10984,1,0,100
10993,1,0,100
11003,1,0,100
11004,1,0,100
11042,1,0,100
11045,1,0,100
11046,1,0,100
11076,1,0,100
11083,1,0,100
11114,1,0,100
11131,1,0,100
11139,1,0,100
11156,1,0,100
11188,1,0,100
11191,1,0,100
11194,1,0,100
11198,1,0,100
11201,1,0,100
11204,1,0,100
11205,1,0,100
11211,1,0,100
11233,1,0,100
11276,1,0,100
11283,1,0,100
11284,1,0,100
11299,1,0,100
11307,1,0,100
11319,1,0,100
11335,1,0,100
11374,1,0,100
11376,1,0,100
11377,1,0,100
11379,1,0,100
11381,1,0,100
11408,1,0,100
11410,1,0,100
11411,1,0,100
11415,1,0,100
11435,1,0,100
11441,1,0,100
11443,1,0,100
11465,1,0,100
11477,1,0,100
11478,1,0,100
11479,1,0,100
11505,1,0,100
11506,1,0,100
11565,1,0,100
11574,1,0,100
11604,1,0,100
11622,1,0,100
11627,1,0,100
11639,1,0,100
11666,1,0,100
11669,1,0,100
11716,1,0,100
11727,1,0,100
11728,1,0,100
11731,1,0,100
11734,1,0,100
11739,1,0,100
11764,1,0,100
11766,1,0,100
11769,1,0,100
11771,1,0,100
11772,1,0,100
11830,1,0,100
11833,1,0,100
11837,1,0,100
11847,1,0,100
11866,1,0,100
11868,1,0,100
11875,1,0,100
11881,1,0,100
11919,1,0,100
11933,1,0,100
11937,1,0,100
11943,1,0,100
11945,1,0,100
11946,1,0,100
11947,1,0,100
12019,1,0,100
12020,1,0,100
12024,1,0,100
12051,1,0,100
12054,1,0,100
12057,1,0,100
12058,1,0,100
12067,1,0,100
12070,1,0,100
12099,1,0,100
12100,1,0,100
12101,1,0,100
12122,1,0,100
12135,1,0,100
12148,1,0,100
12157,1,0,100
12164,1,0,100
12170,1,0,100
12174,1,0,100
12175,1,0,100
12178,1,0,100
12219,1,0,100
12255,1,0,100
12259,1,0,100
12267,1,0,100
12270,1,0,100
12284,1,0,100
12288,1,0,100
12295,1,0,100
12296,1,0,100
12336,1,0,100
12339,1,0,100
12370,1,0,100
12388,1,0,100
12393,1,0,100
12414,1,0,100
12456,1,0,100
12514,1,0,100
12541,1,0,100
12551,1,0,100
12571,1,0,100
12581,1,0,100
12600,1,0,100
12660,1,0,100
12661,1,0,100
12666,1,0,100
12667,1,0,100
12695,1,0,100
12800,1,0,100
12805,1,0,100
12817,1,0,100
12911,1,0,100
12914,1,0,100
12919,1,0,100
12940,1,0,100
12948,1,0,100
12957,1,0,100
12961,1,0,100
12963,1,0,100
12964,1,0,100
13030,1,0,100
13042,1,0,100
13051,1,0,100
13052,1,0,100
13054,1,0,100
13067,1,0,100
13077,1,0,100
13136,1,0,100
13138,1,0,100
13158,1,0,100
13195,1,0,100
13196,1,0,100
13206,1,0,100
13207,1,0,100
13209,1,0,100
13212,1,0,100
13215,1,0,100
13220,1,0,100
13223,1,0,100
13225,1,0,100
13234,1,0,100
13235,1,0,100
13242,1,0,100
13271,1,0,100
13277,1,0,100
13295,1,0,100
13304,1,0,100
13323,1,0,100
13326,1,0,100
13335,1,0,100
13365,1,0,100
13367,1,0,100
13424,1,0,100
13455,1,0,100
13457,1,0,100
13461,1,0,100
13474,1,0,100
13483,1,0,100
13517,1,0,100
13519,1,0,100
13528,1,0,100
13538,1,0,100
13563,1,0,100
13567,1,0,100
13569,1,0,100
13582,1,0,100
13584,1,0,100
13588,1,0,100
13642,1,0,100
13679,1,0,100
13688,1,0,100
13699,1,0,100
13703,1,0,100
13707,1,0,100
13709,1,0,100
13714,1,0,100
13727,1,0,100
13738,1,0,100
13762,1,0,100
13780,1,0,100
13782,1,0,100
13787,1,0,100
13793,1,0,100
13801,1,0,100
13802,1,0,100
13803,1,0,100
13813,1,0,100
13819,1,0,100
13850,1,0,100
13857,1,0,100
13884,1,0,100
13896,1,0,100
13977,1,0,100
13999,1,0,100
14012,1,0,100
14022,1,0,100
14023,1,0,100
14052,1,0,100
14053,1,0,100
14086,1,0,100
14090,1,0,100
14094,1,0,100
14095,1,0,100
14096,1,0,100
14115,1,0,100
14119,1,0,100
14126,1,0,100
14138,1,0,100
14139,1,0,100
14152,1,0,100
14171,1,0,100
14172,1,0,100
14174,1,0,100
14185,1,0,100
14199,1,0,100
14202,1,0,100
14207,1,0,100
14237,1,0,100
14244,1,0,100
14264,1,0,100
14270,1,0,100
14272,1,0,100
14274,1,0,100
14276,1,0,100
14307,1,0,100
14319,1,0,100
14329,1,0,100
14333,1,0,100
14335,1,0,100
14387,1,0,100
14399,1,0,100
14403,1,0,100
14433,1,0,100
14438,1,0,100
